product_id,name,specification,category,official_match_status,image_url,image_rights_status,queue_reasons,priority,source_order
20260129_113946,메가트루골드정,200정,비타민,confirmed,https://common.health.kr/shared/images/ext_images/pack_img/P_2013101100013_01.jpg,official_source_preview,shared_item_code_identity_conflict;shared_image_cross_identity,2,756
20250801_172327,식물성멜라토닌,30정,수면,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,2
20250801_172721,AD혈압계,1EA,의료기기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,3
20250801_172724,귀이마적외선체온계,1EA,의료기기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,6
20250801_172845,유한비타민D5000IU,100캡슐,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,8
20250812_102357,국내산꿀생강도라지스틱,20포,이벤트,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,22
20250812_102500,칼슘마그네슘 아연앤비타민D,180정,이벤트,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,23
20250812_102506,맥스조인트뮤코다당단백콘드로이친1200,60정,이벤트,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,24
20250812_103011,드링크,10병,드링크,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,28
20250812_103505,비타하임비타민,1통,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,45
20250812_103509,비빌크림캔디,10ea,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,46
20250812_103517,허브눈찜질팩,1Box,의료기기,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,47
20250812_103607,키드큐젤리,30P,키즈,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,49
20250812_103727,트리어드코어플러스D,180c,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,54
20250812_103735,초임계 눈건강 아스타잔틴,120캡슐,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,55
20250812_103738,슈퍼 아이잔틴 루테인,180캡슐,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,56
20250812_103758,프롬팜싱글맥스루테인20,120c,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,58
20250812_103803,슈퍼 아이 루테인,90캡슐,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,59
20250812_104052,슬림락정,50정,소화기,confirmed,,미확인,image_missing,3,63
20250812_104242,유한m 메가엽산,90정,여성,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,77
20250812_104713,이큐펜키즈에이시럽(아세트아미노펜),5mL×10포,키즈,confirmed,,미확인,image_missing,3,95
20250812_104716,이큐펜키즈아이시럽(이부프로펜),5mL×10포,키즈,confirmed,,미확인,image_missing,3,96
